route_no,latitude,longitude
62,34.01837,-118.28952
62,34.01837,-118.28941
62,34.01838,-118.28904
62,34.01838,-118.28896
62,34.01838,-118.28779
62,34.01838,-118.28742
62,34.01838,-118.28663
62,34.01837,-118.28612
62,34.01837,-118.28537
62,34.01837,-118.28534
62,34.0183477,-118.2914598
62,34.0183714,-118.2853411
63,34.01835,-118.29146
63,34.01838,-118.29146
63,34.01838,-118.29139
63,34.01837,-118.29088
63,34.01837,-118.29057
63,34.01837,-118.29048
63,34.01837,-118.29014
63,34.01837,-118.28952
63,34.01837,-118.28941
63,34.01838,-118.28904
63,34.01838,-118.28896
63,34.01838,-118.28779
63,34.01838,-118.28742
63,34.01838,-118.28663
63,34.01837,-118.28612
63,34.01837,-118.28537
63,34.01837,-118.28534
63,34.0183477,-118.2914598
63,34.0183714,-118.2853411
64,34.01835,-118.29146
64,34.01838,-118.29146
64,34.01838,-118.29139
64,34.01837,-118.29088
64,34.01837,-118.29057
64,34.01837,-118.29048
64,34.01837,-118.29014
64,34.01837,-118.28952
64,34.01837,-118.28941
64,34.01838,-118.28904
64,34.01838,-118.28896
64,34.01838,-118.28779
64,34.01838,-118.28742
64,34.01838,-118.28663
64,34.01837,-118.28612
64,34.01837,-118.28537
64,34.01837,-118.28534
64,34.0183477,-118.2914598
64,34.0183714,-118.2853411
65,34.01835,-118.29146
65,34.01838,-118.29146
65,34.01838,-118.29139
65,34.01837,-118.29088
65,34.01837,-118.29057
65,34.01837,-118.29048
65,34.01837,-118.29014
65,34.01837,-118.28952
65,34.01837,-118.28941
65,34.01838,-118.28904
65,34.01838,-118.28896
65,34.01838,-118.28779
65,34.01838,-118.28742
65,34.01838,-118.28663
65,34.01837,-118.28612
65,34.01837,-118.28537
65,34.01837,-118.28534
65,34.0183477,-118.2914598
65,34.0183714,-118.2853411
66,34.01835,-118.29146
66,34.01838,-118.29146
66,34.01838,-118.29139
66,34.01837,-118.29088
66,34.01837,-118.29057
66,34.01837,-118.29048
66,34.01837,-118.29014
66,34.01837,-118.28952
66,34.01837,-118.28941
66,34.01838,-118.28904
66,34.01838,-118.28896
66,34.01838,-118.28779
66,34.01838,-118.28742
66,34.01838,-118.28663
66,34.01837,-118.28612
66,34.01837,-118.28537
66,34.01837,-118.28534
66,34.0183477,-118.2914598
66,34.0183714,-118.2853411
67,34.01835,-118.29146
